symbol,long_name,r2,diff_pct,slope
NWS,News Corporation Class B Common Stock,0.9342339502407644,0.10527985950708559,0.01863144288559869
PNR,Pentair plc,0.8011822787560934,0.08908317482878748,0.057463235800976176
ADSK,Autodesk Inc,0.7524397401344847,0.17576242568168768,0.13130478948630328
ADP,Automatic Data Processing,0.8476822692007222,0.8197846573385881,0.12532451855456508
PKG,Packaging Corp of America,0.7386879652681658,0.40430873889532404,0.1206713057798311
ISRG,Intuitive Surgical Inc.,0.8865466340263433,0.19833689935554144,0.4076855792902066
NWSA,News Corporation Class A Common Stock,0.8258273253142246,0.08136129507405919,0.013404960194896927
MAR,Marriot International Class A Common Stock,0.7113175988469068,0.04219452450136764,0.12122643223135932
NOW,"SERVICENOW, INC.",0.8139244535240223,0.4808507417681065,0.6901374023200382
SPGI,S&P Global Inc.,0.8393537095682715,0.33149065878577577,0.21676399839052743
GWW,"W.W. Grainger, Inc.",0.7867934350531978,0.09929038045810339,0.5809475419204851
SHW,The Sherwin-Williams Company,0.775541728140392,2.750774143290933,0.17685266500568764
TMUS,"T-Mobile US, Inc.",0.9229361725399339,0.750228302050902,0.18376306939716278
