symbol,long_name,r2,diff_pct,slope
WRB,W.R. Berkley Corporation,0.9238495982827291,0.24247368691164237,0.04086123819980697
HIG,"The Hartford Insurance Group, Inc.",0.9329149986827926,0.09595627268702288,0.083092376832286
PGR,Progressive Corporation,0.9609388275577582,0.4785812031087507,0.2269434982051934
MO,"Altria Group, Inc.",0.7854958735335023,0.1186927797076637,0.02503114955304994
TRV,"The Travelers Companies, Inc.",0.9107458354742065,0.17510318987703177,0.14841878430581804
FICO,Fair Isaac Corporation,0.8470355384968574,4.639812864367747,1.8992113990692931
