symbol,long_name,r2,diff_pct,slope
PGR,Progressive Corporation,0.9601719657090604,0.04529722154728189,0.22642971492670402
FICO,Fair Isaac Corporation,0.8456169716289297,2.4938784714286295,1.89299964597367
PANW,"Palo Alto Networks, Inc. Common Stock",0.8516300253579683,0.4336888875923977,0.11024322340007348
WRB,W.R. Berkley Corporation,0.9242883196736844,0.36488431011795464,0.040886269263222384
GDDY,GoDaddy Inc,0.9160666645870847,1.2453986585045027,0.19143214674967016
TYL,"Tyler Technologies, Inc.",0.828028047928468,0.9606136721687984,0.35725193490502305
ADSK,Autodesk Inc,0.7505818588824733,0.2378206056409488,0.13097676827681537
ROP,"Roper Technologies, Inc. Common Stock",0.7232748400630542,0.6545032346830385,0.11783660613309543
