symbol,long_name,r2,diff_pct,slope
ADSK,Autodesk Inc,0.7553569748688366,0.1757624256767263,0.13156150040449602
ADP,Automatic Data Processing,0.8490101207142352,0.8197846573385881,0.12525501446799472
ISRG,Intuitive Surgical Inc.,0.8863376898057752,0.19833689935558585,0.4063732047249608
MAR,Marriot International Class A Common Stock,0.7146921769470482,0.04219452449865911,0.12180602296922953
NWSA,News Corporation Class A Common Stock,0.8278154114777111,0.08136129507402032,0.013432643321041717
NWS,News Corporation Class B Common Stock,0.9349925902248939,0.1052798595068476,0.018641865785713276
PKG,Packaging Corp of America,0.7411102166485259,0.40430873889533914,0.12068161755116813
PNR,Pentair plc,0.8029586179487589,0.08908317482878748,0.05745573257496178
SPGI,S&P Global Inc.,0.8410228851476308,0.33149065878682993,0.21688727074272326
SHW,The Sherwin-Williams Company,0.778080410216797,2.7507741432906117,0.17770148261288501
NOW,"SERVICENOW, INC.",0.8172499402268587,0.480850741767957,0.6955879677718634
TMUS,"T-Mobile US, Inc.",0.919760181976326,0.7502283020509145,0.18246687492460262
GWW,"W.W. Grainger, Inc.",0.7891266952631382,0.09929038045827432,0.5819522529743086
