symbol,long_name,r2,diff_pct,slope
PKG,Packaging Corp of America,0.7372492837215636,0.404308738901097,0.12052558778393394
MAR,Marriot International Class A Common Stock,0.7091298570423024,0.04219452450163515,0.12052526718426329
PNR,Pentair plc,0.8000145843624091,0.08908317482877279,0.05741188028621303
ADSK,Autodesk Inc,0.7483994178704916,0.17576242568160985,0.13044233128515031
NOW,"SERVICENOW, INC.",0.8120056778808352,0.480850741768118,0.6874324695916616
SPGI,S&P Global Inc.,0.8380744802918683,0.33149065878682993,0.21627366911107795
NWSA,News Corporation Class A Common Stock,0.8248447838629108,0.08136129507412397,0.013382295300730838
ISRG,Intuitive Surgical Inc.,0.8858034514278232,0.19833689935549703,0.40781260783004886
SHW,The Sherwin-Williams Company,0.7741849063392872,2.7507741432909163,0.1758071057228831
TMUS,"T-Mobile US, Inc.",0.9252459629609897,0.7502283020509269,0.18464115996610825
GWW,"W.W. Grainger, Inc.",0.7852893749940624,0.09929038045827432,0.5794269824151439
NWS,News Corporation Class B Common Stock,0.9338736852634584,0.10527985950715359,0.018618070369329668
ADP,Automatic Data Processing,0.8465344913853994,0.8197846573385881,0.12513133969685933
